code,branch
SBIN0020275,DUBBAK
SBIN0020276,MULUND
SBIN0020277,MULKANOOR
SBIN0020278,K G MARG
SBIN0020279,CHANDNI CHOWK
SBIN0020280,AUSTIN TOWN
SBIN0020281,JUHU
SBIN0020282,MAIN BR
SBIN0020283,NADIGUDEM
SBIN0020284,ICHODA
SBIN0020285,BICHKUNDA ADB
SBIN0020286,PADDAPALLY ADB
SBIN0020287,SINDHANOOR ADB
SBIN0020288,GANGAVATI ADB
SBIN0020289,TYAGARAYA NAGAR
SBIN0020290,INDIRANAGAR CHENNAI
SBIN0020291,BASHEERABAD
SBIN0020292,NIRNA
SBIN0020293,SATHUPALLI
SBIN0020294,GULBARGA SANGAMESWAR NAGAR
SBIN0020295,GAMBHIR RAO PET
SBIN0020296,MOTHKUR
SBIN0020297,KADA
SBIN0020299,BEGUMPET
SBIN0020300,MANVI ADB
SBIN0020301,BORI
SBIN0020302,STATION ROAD
SBIN0020303,WARDHANNAPET
SBIN0020304,MYLARGADDA
SBIN0020305,MANTHA
SBIN0020306,PALAM
SBIN0020307,TAMSA
SBIN0020308,SANJEEVA REDDY NGR
SBIN0020309,MALLEPALLI
SBIN0020310,DUBBA SME BRANCH
SBIN0020311,PRENDHERGHAST RD
SBIN0020312,KAVADIGUDA
SBIN0020313,SION BR
SBIN0020314,SOLAPUR
SBIN0020315,NEKKONDA
SBIN0020316,CHIKALTANA IE
SBIN0020317,MARATHWADA KRISHI VIDYAPEETH
SBIN0020318,ANAND NAGAR HYDERABAD
SBIN0020319,ETURU NAGARAM
SBIN0020320,OLD JALNA
SBIN0020321,GODAVARIKHANI
SBIN0020322,MIRYALGUDA ADB
SBIN0020323,NEREDCHERLA
SBIN0020324,GANDHI CHOWK
SBIN0020325,STATION ROAD
SBIN0020326,BALLARD ESTATE
SBIN0020327,NELLORE
SBIN0020328,TIRUPATHI MAIN
SBIN0020329,MAIN BR
SBIN0020330,PALAKOL
SBIN0020331,GUDIVADA
SBIN0020332,ANAKAPALLY
SBIN0020333,NEW TOWN
SBIN0020334,MASULIPATNAM
SBIN0020335,SHIVARAMAPALLY BR
SBIN0020336,GHATKOPAR
SBIN0020337,GARLA
SBIN0020338,ELURU
SBIN0020339,RAJAMUNDRY
SBIN0020341,AMALAPURAM
SBIN0020342,TADEPALLIGUDEM
SBIN0020343,VIJAYAWADA GOVERNORPET
SBIN0020344,JALAHALLI
SBIN0020345,SAIDABAD BR HYD
SBIN0020346,KOTHAPET
SBIN0020347,NEHRU PLACE
SBIN0020348,RAJAJINAGAR BANGALORE
SBIN0020349,TENALI
SBIN0020350,RAMKOTI
SBIN0020351,KAVALI
SBIN0020352,CHETPUT
SBIN0020354,ROUDALBANDA CAMP
SBIN0020355,MALKHED
SBIN0020356,BARKAS HYDERABAD
SBIN0020357,ASHTI DHOTARJODA
SBIN0020358,BASAR
SBIN0020359,NARSAPUR G
SBIN0020360,BURRA BAZAR KOLKATA
SBIN0020361,WANKADI
SBIN0020362,KUSHAIGUDA
SBIN0020363,TILAKNAGAR
SBIN0020364,AJANTHA
SBIN0020365,NARAYANAPUR
SBIN0020366,JILLELLA
SBIN0020367,INKOLLU
SBIN0020368,CHANDUR
SBIN0020369,SHORAPUR ADB
SBIN0020370,SATTUPALLY ADB
SBIN0020371,SRISAILAM
SBIN0020372,ARUTLA
SBIN0020373,PATRI ADB
SBIN0020374,BHEEMGAL
SBIN0020375,TALKAL
SBIN0020376,SUBHASHNAGAR
SBIN0020377,DADAR
SBIN0020378,BUDVEL HYDERABAD
SBIN0020379,SHAHAGADH
SBIN0020380,VISHAKHAPATNAM DWARAKA NAGAR
SBIN0020381,NAWABPET
SBIN0020382,YACHARAM
SBIN0020383,KULAKACHARLA
SBIN0020384,KAKINADA
SBIN0020385,KAMANPUR
SBIN0020386,UTKUR ADB
SBIN0020387,KOTAKONDA
SBIN0020388,KALVA SRIRAMPUR
SBIN0020389,DICHPALLY
SBIN0020390,CHIKALTANA
SBIN0020391,MASHAL
SBIN0020392,GULBARGA STATION BAZAR
SBIN0020393,HUDGI
SBIN0020394,PEMBI
SBIN0020395,SARANGPUR
SBIN0020396,ANDHERI
SBIN0020397,RAYANAPADU
SBIN0020398,DONDAPADU
SBIN0020399,VELPUR
SBIN0020400,SHAPURNAGAR
SBIN0020401,DARU SALAM HYDERABAD
SBIN0020402,BHIMARAYANGUDI
SBIN0020403,SOLUR
SBIN0020404,CHOUSALA
SBIN0020405,BOMRASPET
SBIN0020406,NEKNOOR
SBIN0020407,AMALNER
SBIN0020408,CHEMBUR BRANCH
SBIN0020409,NALEGAON
SBIN0020410,BHIMAVARAM
SBIN0020411,TANUKU
SBIN0020412,METPALLY ADB
SBIN0020413,DABEERPURA HYDERABAD
SBIN0020414,SUDIMALLA
SBIN0020415,RAJESHWARA PURAM
SBIN0020416,DAITHANA
SBIN0020417,TANDUR ADB
SBIN0020418,OAD ZO AURANGABAD
SBIN0020419,HUNSIGI
SBIN0020420,DHONDRAI
